,doc_id,content
0,D1,"제주도는 한라산 등반, 성산 일출봉, 해변 활동이 인기 있는 관광지로, 흑돼지, 고기국수, 전복죽 등의 현지 음식과 유명한 카페 거리도 있습니다. 교통은 렌터카와 시외버스를 이용하며, 우도 투어나 올레길 트레킹은 사전 예약으로 가능하다."
1,D2,"비빔밥은 조선 시대부터 전해온 한국 음식으로, 밥 위에 다양한 고명을 올리고 고추장이나 간장을 섞어 먹습니다. 전주 비빔밥은 다양한 고명과 전주식 고추장이 특징이며, 잔치용으로 유명합니다. 진주 비빔밥은 고기, 회, 나물 등을 섞어 풍부한 식감을 제공합니다. 두 지역의 비빔밥은 역사적 배경과 재료 구성에 따라 맛이 다릅니다."
2,D3,"걸스데이는 2010년 데뷔한 4인조 걸그룹으로, 대표곡으로는 “Something”, “Darling”, “Expectation”이 있다. 초기 청순 컨셉에서 섹시·여성미 컨셉으로 변화하며 성공을 거두었고, 멤버들은 드라마, 예능, 광고 등 다양한 분야에서도 활동하고 있다."
3,D4,"세종대왕(1397~1450)은 훈민정음을 창제하여 한글을 보급한 조선의 4대 임금으로, 문맹 문제 해결과 국가 통치 효율화를 목표로 했습니다. 그의 업적은 한국 문화와 문자 체계에 큰 영향을 미쳤으며, 훈민정음 해례본은 유네스코 세계기록유산으로 등재되었습니다."
4,D5,"이순신 장군은 임진왜란 중 명량 해전에서 13척의 배로 133척의 왜선을 격파하며 승리하였고, 그의 전술적 배치와 기상·해류 활용 전략은 군사 역사에 중요한 사례로 남아 있습니다."
5,D6,"2024년 전 지구 평균 기온이 산업화 이전 대비 약 1.2℃ 상승하며 해수면 상승, 빙하 감소, 이상 기상 현상이 증가하고 있습니다. 이에 따라 재생에너지 확대, 탄소 중립 정책, 전기차 보급이 주요 과제로 부각되고 있으며, 한국은 2050 탄소 중립 목표를 설정하고 신재생에너지 비중 확대 및 탄소세 도입을 논의하고 있습니다."
6,D7,"최근 인공지능 분야에서는 생성형 AI, 멀티모달 모델, 강화학습 기반 에이전트 개발이 활발하며, GPT 계열은 자연어 처리에서, DALL·E와 Stable Diffusion은 이미지 생성에서 주목받고 있습니다. AI 윤리 이슈로는 데이터 편향, 프라이버시 침해, 자율성 문제가 논의되고 있습니다."
7,D8,"서울 지하철은 1호선부터 9호선까지 운영되며, 주요 환승역으로 서울역, 강남역, 종로3가역, 고속터미널역이 있다. 기본 요금은 1,250원이며, T-money 카드 사용 시 할인된다. 출퇴근 시간대는 혼잡하므로 비혼잡 시간대를 이용하는 것이 좋다."
8,D9,"판소리는 소리꾼과 고수가 함께 공연하는 한국 전통 음악으로, 대표 작품으로 “춘향가”, “심청가”, “흥부가”가 있다. “춘향가”는 이몽룡과 성춘향의 사랑 이야기를 다루며, 욕망과 권력, 신분제 갈등을 포함한다. 판소리는 소리(창), 아니리, 발림(무용)으로 구성되며, 지역별로 창법에 차이가 있다."
9,D10,"한국 축구 대표팀은 2002 한일 월드컵 4강, 2012 런던 올림픽 동메달, 2022 카타르 월드컵 16강 진출 등의 성과를 거두었으며, 박지성, 차범근, 손흥민, 기성용 등의 주요 선수가 활약하고 있습니다. 감독으로는 거스 히딩크와 슈틸리케가 있었습니다. 최근 젊은 선수들의 활약으로 아시아 예선 및 월드컵 본선에서 경쟁력을 유지하고 있습니다."
10,D11,"건강을 위해서는 규칙적인 식습관, 주 3회 이상의 운동, 하루 7~8시간의 충분한 수면, 스트레스 관리, 정기 건강검진이 필요합니다. 비만 예방을 위해 저탄수화물·고단백 식단과 주 10,000보 걷기를 권장하며, 음주와 흡연은 최소화해야 합니다. 정신 건강을 위해 긍정적인 마인드와 사회적 지지 체계, 전문 상담 서비스 이용이 도움이 됩니다."
11,D12,"서울 근교의 당일치기 여행지로는 가평 쁘띠프랑스, 남양주 수종사, 양평 두물머리, 용인 에버랜드가 있으며, 대중교통과 자가용 모두 접근이 용이합니다. 관광 예약 앱을 통해 할인 혜택도 확인할 수 있습니다."
12,D13,"비빔밥은 지역에 따라 칼로리와 영양 성분이 다릅니다. 전주 비빔밥은 약 650kcal로 재료 비율이 균형 잡혀 있고, 진주 비빔밥은 해산물과 육류가 포함되어 약 700kcal로 열량이 높습니다. 안동 비빔밥은 간단한 재료로 약 600kcal입니다. 나물 종류와 기름 사용량이 칼로리에 영향을 미칩니다."
13,D14,"AI를 활용한 기후 예측 연구는 기계학습 모델로 대규모 기상 데이터를 분석해 미래 기온과 강수량을 예측합니다. 한국 기상청과 KAIA는 Deep Learning 기반 단기 기상 예보 모델을 개발했으며, 강화학습을 통해 극한 기상 상황 발생 확률을 시뮬레이션하는 연구도 진행 중입니다. 이 연구는 기후 변화 대응 정책 수립에 활용됩니다."
14,D15,"가야금은 12줄을 가진 한국 전통 현악기로, 가야 시대에 기원하며 고려 말과 조선 초기에 궁중 음악으로 발전했습니다. 현대에는 국악 앙상블에서 주로 사용되며, 줄을 손끝으로 튕겨 연주합니다."
15,D16,"전통 혼례는 복잡한 절차와 여러 의례(폐백, 예단, 함 등)를 포함하며, 지역마다 다를 수 있다. 최근에는 전통식을 현대적으로 재해석한 혼례가 인기를 끌고 있다."
16,D17,"2023년 한국 영화 흥행 순위 Top10에는 ""헌트"", ""비상선언"", ""범죄도시3"" 등 액션·스릴러 장르의 영화들이 포함되었으며, 감독과 출연진의 라인업이 흥행에 중요한 영향을 미쳤습니다."
17,D18,"윈도우즈에서 한글이 깨지지 않도록 그래프를 시각화하려면, 한글 폰트를 설치한 후 matplotlib에 폰트 경로를 지정해야 합니다. 예를 들어, ""Malgun Gothic"" 폰트를 설치하고 `plt.rc(""font"", family=""Malgun Gothic"")` 코드를 추가하면 한글이 올바르게 출력됩니다."
18,D19,"코드 악취는 비효율적인 코드 구조로 유지보수에 어려움을 주는 패턴을 의미하며, 예로는 중복 코드, 긴 메서드, 거대한 클래스, 불분명한 변수명이 있다. 이를 해결하기 위해 리팩토링 기법을 적용하여 코드 품질을 개선하고 버그 발생률을 줄인다."
19,D20,"JUnit5는 모듈화된 구조와 확장 API, 유연한 애노테이션, 강력한 어서션 기능을 제공하며, 테스트 라이프사이클 관리가 개선되었습니다. Eclipse에서 JUnit5 테스트 클래스를 생성하려면 Maven/Gradle 의존성을 설정하고 `@Test` 애노테이션을 사용하면 됩니다. JUnit4는 `@RunWith`와 `@Rule`을 사용하며 레거시 프로젝트와의 호환성이 높습니다."
20,D21,"Wheel of Fortune은 랜덤으로 배치된 숫자와 문자를 가진 원판을 돌려 알파벳을 맞추고 점수를 얻는 게임입니다. 플레이어는 자음과 모음을 선택하며, 맞춘 글자 수에 따라 상금을 획득하고, 특정 스페셜 칸이 등장할 수 있습니다. 게임은 턴 기반 점수 시스템, 보너스 라운드, 시간 제한 요소를 포함하며, 알파벳 빈도에 따른 전략이 필요합니다."
21,D22,"싱글톤 패턴은 클래스의 인스턴스를 하나만 생성하고 전역 접근을 제공하는 디자인 패턴입니다. Java에서는 `private static` 인스턴스 변수와 `getInstance()` 메서드를 통해 단일 인스턴스를 반환하며, 멀티스레드 환경에서는 `synchronized` 블록이나 `volatile` 키워드를 사용해 안전성을 보장해야 합니다."
22,D23,"Strategy 패턴은 알고리즘을 캡슐화하여 상호 교환 가능하게 만드는 디자인 패턴입니다. Java에서는 인터페이스를 정의하고, 이를 구현하는 여러 전략 클래스를 만들어 클라이언트가 런타임에 유연하게 알고리즘을 선택할 수 있도록 합니다."
23,D24,"Command 패턴은 요청을 객체로 캡슐화하여 호출자와 수신자를 분리합니다. Java 예제에서는 `Command` 인터페이스와 구체적 명령 클래스를 사용하여 요청을 처리하며, 이를 통해 요청 기록, 실행 취소, 큐잉 등이 용이해집니다."
24,D25,"2025년 한국 정부는 ""AI 국가전략 2.0""을 발표하고 인공지능 R&D 예산을 3조 원으로 확대했습니다. 주요 정책으로는 AI 인재 양성, 규제 샌드박스 활성화, AI 윤리 가이드라인 강화, 공공데이터 개방 등이 있으며, 중소기업 AI 솔루션 지원과 대학·연구기관 협력 프로젝트가 활발히 추진되고 있습니다."
25,D26,"딥러닝 모델을 활용한 기상 예측은 과거 데이터를 기반으로 미래 기온과 강수량을 예측합니다. 한국 기상청의 시스템은 50년 치 데이터를 학습해 태풍 경로 예측 정확도를 10% 향상시켰으며, 강화학습을 적용한 극한 기상 시뮬레이션도 연구되고 있습니다."
26,D27,"ChromaDB와 Qdrant는 벡터 검색 라이브러리로, ChromaDB는 오픈소스이며 간단한 파이썬 인터페이스를 제공하고, Qdrant는 Rust 기반으로 GPU 가속과 필터링 기능이 강점입니다. 성능 비교 실험에서는 인덱싱 속도, 검색 응답 속도, 메모리 사용량, 스케일링 용이성을 평가하며, 파이썬 코드 예제와 벤치마크 결과가 제공되어 개발자의 선택을 돕습니다."
27,D28,"Contextual Compression은 긴 텍스트에서 핵심 정보를 추출해 요약하고, 이를 통해 검색 효율을 높이는 기법입니다. PEGASUS 기반 한국어 요약 모델을 사용해 문서를 요약한 후, 압축된 요약문을 임베딩하여 검색 품질을 유지합니다. 검색 성능 평가는 Precision@k, Recall@k, nDCG@k 지표로 이루어집니다."
28,D29,"Self-Query Retriever는 문서 메타데이터를 분석하여 사용자가 검색할 쿼리를 생성하고, 이를 다시 검색에 활용하는 기법입니다. 이 과정을 통해 검색 품질을 향상시키며, 생성된 쿼리는 'Self-Query'라고 합니다."
29,D30,"Multi-Hop Retrieval은 복합 질문에 대해 여러 단계로 나눠 검색하는 기법으로, 예를 들어 ""세종대왕이 훈민정음을 만든 이유를 바탕으로 AI 윤리 가이드라인 사례를 찾고 싶다""는 질문을 1단계와 2단계로 나눠 검색하여 최종 답을 도출합니다. 단계별 결과를 종합해 최종 순위를 매깁니다."
